,Name,City,Cuisine Style,Ranking,Rating,Price Range,Number of Reviews,Reviews,URL_TA,ID_TA
10,Le Gabriel,Paris,"['French', 'European', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",11,4.5,$$$$,338,"[['Perfect Parisian dining for anniversary', 'Fabulous Dining'], ['01/06/2018', '01/03/2018']]",/Restaurant_Review-g187147-d7679533-Reviews-Le_Gabriel-Paris_Ile_de_France.html,d7679533
11,Bateau le Calife,Paris,"['French', 'European', 'Vegetarian Friendly', 'Vegan Options']",12,4.5,$$$$,2154,"[['Perfect Christmas Eve', 'Excellent'], ['01/03/2018', '01/01/2018']]",/Restaurant_Review-g187147-d951228-Reviews-Bateau_le_Calife-Paris_Ile_de_France.html,d951228
12,L'Affineur' Affine,Paris,"['French', 'European', 'Vegetarian Friendly']",13,4.5,$$ - $$$,752,"[['Awesome place', 'Delicious'], ['12/28/2017', '12/09/2017']]",/Restaurant_Review-g187147-d3955273-Reviews-L_Affineur_Affine-Paris_Ile_de_France.html,d3955273
13,La Bonne Excuse,Paris,"['French', 'European', 'Vegetarian Friendly', 'Gluten Free Options']",14,4.5,$$$$,662,"[['Delicious meal charming restaurant', 'Superb Meal'], ['12/30/2017', '12/26/2017']]",/Restaurant_Review-g187147-d2707651-Reviews-La_Bonne_Excuse-Paris_Ile_de_France.html,d2707651
14,Pur' - Jean-Francois Rouquette,Paris,"['French', 'European', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",15,4.5,$$$$,841,"[['Excellent', 'Unforgettable experience in a sumptuous re...'], ['01/08/2018', '01/03/2018']]",/Restaurant_Review-g187147-d719852-Reviews-Pur_Jean_Francois_Rouquette-Paris_Ile_de_France.html,d719852
15,L'Abeille,Paris,"['French', 'European', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",16,4.5,$$$$,410,"[['Perfect', 'Elegant Restaurant'], ['01/08/2018', '01/06/2018']]",/Restaurant_Review-g187147-d2279500-Reviews-L_Abeille-Paris_Ile_de_France.html,d2279500
16,Alliance,Paris,"['French', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",17,5,$$$$,267,"[['Superb as usual', 'Perfect'], ['12/29/2017', '12/02/2017']]",/Restaurant_Review-g187147-d9467731-Reviews-Alliance-Paris_Ile_de_France.html,d9467731
17,Sacree fleur,Paris,"['French', 'Steakhouse', 'European']",18,4.5,$$ - $$$,2471,"[['Love this place', 'Excellent'], ['01/07/2018', '01/06/2018']]",/Restaurant_Review-g187147-d6633751-Reviews-Sacree_fleur-Paris_Ile_de_France.html,d6633751
18,Le 114 Faubourg,Paris,"['French', 'European', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",19,4.5,$$$$,1386,"[['Incredible food and service', 'Outstanding lunch'], ['01/07/2018', '01/06/2018']]",/Restaurant_Review-g187147-d2013853-Reviews-Le_114_Faubourg-Paris_Ile_de_France.html,d2013853
19,Restaurant H,Paris,"['French', 'European', 'Vegetarian Friendly', 'Gluten Free Options']",20,5,$$$$,264,"[['Outstanding meal - both innovative and cla...', 'Experience'], ['01/06/2018', '12/21/2017']]",/Restaurant_Review-g187147-d9750183-Reviews-Restaurant_H-Paris_Ile_de_France.html,d9750183
20,Restaurant L'INITIAL,Paris,"['French', 'European']",21,4.5,$$$$,295,"[['Haute cuisine without the fuss', 'Wonderful Dinner!'], ['12/31/2017', '12/17/2017']]",/Restaurant_Review-g187147-d8074327-Reviews-Restaurant_L_INITIAL-Paris_Ile_de_France.html,d8074327
21,Pierre Gagnaire,Paris,"['French', 'European', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",22,4.5,$$$$,805,"[['Good not great', 'The name says it all'], ['12/31/2017', '12/19/2017']]",/Restaurant_Review-g187147-d719833-Reviews-Pierre_Gagnaire-Paris_Ile_de_France.html,d719833
22,Etude,Paris,"['French', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",23,4.5,$$$$,268,"[['Sofisticated Experience', 'Amazing'], ['01/05/2018', '12/06/2017']]",/Restaurant_Review-g187147-d4975113-Reviews-Etude-Paris_Ile_de_France.html,d4975113
23,Le Bistrot d'Indochine,Paris,"['Asian', 'Vietnamese', 'Vegetarian Friendly', 'Vegan Options']",24,4.5,$$ - $$$,310,"[['Just fantastic!', 'Good Vietnamese food with some smaller tab...'], ['10/31/2017', '06/27/2017']]",/Restaurant_Review-g187147-d3940718-Reviews-Le_Bistrot_d_Indochine-Paris_Ile_de_France.html,d3940718
24,Bar Italia Brasserie,Paris,"['Italian', 'Vegetarian Friendly', 'Vegan Options']",25,4.5,$$ - $$$,915,"[['Xmas party good music and atmosphere', 'Italian dream come true !!!'], ['12/15/2017', '12/12/2017']]",/Restaurant_Review-g187147-d3842915-Reviews-Bar_Italia_Brasserie-Paris_Ile_de_France.html,d3842915
25,Le Bistrot d'Yves,Paris,"['French', 'European', 'Vegetarian Friendly']",26,4.5,$$ - $$$,284,"[['Good value premium dining', 'Wow wow wow. Fabulous Bistro!!!'], ['12/25/2017', '12/22/2017']]",/Restaurant_Review-g187147-d6665583-Reviews-Le_Bistrot_d_Yves-Paris_Ile_de_France.html,d6665583
26,Flesh Restaurant et Canal Saint Martin,Paris,"['Barbecue', 'American', 'Steakhouse', 'European', 'French', 'Gluten Free Options']",27,4.5,$$ - $$$,206,"[['delightful food', 'Bold meaty flavoursome goodness!'], ['01/07/2018', '01/05/2018']]",/Restaurant_Review-g187147-d11880054-Reviews-Flesh_Restaurant_et_Canal_Saint_Martin-Paris_Ile_de_France.html,d11880054
27,Paris Picnic,Paris,"['French', 'European', 'Street Food', 'Vegetarian Friendly', 'Gluten Free Options', 'Vegan Options']",28,4.5,$$ - $$$,451,"[['Perfect for a large group', 'Paris Romanticism At Its Best'], ['10/04/2017', '09/12/2017']]",/Restaurant_Review-g187147-d8443166-Reviews-Paris_Picnic-Paris_Ile_de_France.html,d8443166
28,New Jawad Longchamp,Paris,"['Indian', 'Pakistani', 'Vegetarian Friendly', 'Vegan Options', 'Halal', 'Gluten Free Options']",29,4.5,$$ - $$$,291,"[['Very delicious indian food for a good pric...', '""PERFECT EVENING""'], ['01/08/2018', '01/06/2018']]",/Restaurant_Review-g187147-d4451589-Reviews-New_Jawad_Longchamp-Paris_Ile_de_France.html,d4451589
29,Fromagerie Danard,Paris,"['Wine Bar', 'French', 'European', 'Vegetarian Friendly', 'Gluten Free Options']",30,4.5,$$ - $$$,561,"[['Cheese Heaven', 'Smile'], ['12/29/2017', '12/26/2017']]",/Restaurant_Review-g187147-d8772707-Reviews-Fromagerie_Danard-Paris_Ile_de_France.html,d8772707
30,Le Clos Y,Paris,"['French', 'Japanese', 'European', 'Asian', 'Vegetarian Friendly']",31,4.5,$$$$,400,"[['Really wonderful', 'Gastronomic experience at a Japanese-Frenc...'], ['12/26/2017', '12/24/2017']]",/Restaurant_Review-g187147-d6219735-Reviews-Le_Clos_Y-Paris_Ile_de_France.html,d6219735
31,AlKaram,Paris,"['Lebanese', 'Mediterranean', 'Middle Eastern', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",32,4.5,$$ - $$$,548,"[['Very good for either a quick or a full mea...', 'It was my Birthday there'], ['12/23/2017', '12/22/2017']]",/Restaurant_Review-g187147-d785995-Reviews-AlKaram-Paris_Ile_de_France.html,d785995
32,Cezembre,Paris,"['French', 'European']",33,4.5,$$$$,439,"[['The Best Office Christmas Party EVER!', 'Fantastic'], ['12/18/2017', '12/14/2017']]",/Restaurant_Review-g187147-d9880115-Reviews-Cezembre-Paris_Ile_de_France.html,d9880115
33,Le George,Paris,"['Mediterranean', 'Italian', 'French', 'European', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",34,4.5,$$$$,283,"[['Very good, but...', 'Best restuarant in Paris'], ['12/02/2017', '11/29/2017']]",/Restaurant_Review-g187147-d8683803-Reviews-Le_George-Paris_Ile_de_France.html,d8683803
34,Seb'on,Paris,"['French', 'European']",35,4.5,$$ - $$$,940,"[['One of my favourite places in Paris', 'Mouth orgasm'], ['01/05/2018', '01/04/2018']]",/Restaurant_Review-g187147-d6958622-Reviews-Seb_on-Paris_Ile_de_France.html,d6958622
35,Petite Fleur,Paris,"['French', 'European']",36,4.5,$$ - $$$,140,"[[""Perfect, just it's not easy for make reser..."", 'Lovely discovery'], ['01/05/2018', '01/04/2018']]",/Restaurant_Review-g187147-d12049160-Reviews-Petite_Fleur-Paris_Ile_de_France.html,d12049160
36,La boite aux lettres,Paris,"['French', 'European', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",37,4.5,$$ - $$$,500,"[['Lovely place in Montmartre', 'Excellent food and Personal Service'], ['12/21/2017', '11/30/2017']]",/Restaurant_Review-g187147-d4414548-Reviews-La_boite_aux_lettres-Paris_Ile_de_France.html,d4414548
37,L'Envie du jour,Paris,"['French', 'European', 'Vegetarian Friendly', 'Vegan Options']",38,4.5,$$ - $$$,371,"[['A little away from the tourist circuit...', 'Explosions in your mouth'], ['12/29/2017', '12/10/2017']]",/Restaurant_Review-g187147-d5491344-Reviews-L_Envie_du_jour-Paris_Ile_de_France.html,d5491344
38,Pedzouille,Paris,"['French', 'European']",39,4.5,$$ - $$$,293,"[['Great cosy place!', 'Super yummy and chilled'], ['12/12/2017', '12/09/2017']]",/Restaurant_Review-g187147-d10201111-Reviews-Pedzouille-Paris_Ile_de_France.html,d10201111
39,Le Taillevent,Paris,"['French', 'European']",40,4.5,$$$$,821,"[['Excellent!', '2 star experience'], ['01/03/2018', '12/16/2017']]",/Restaurant_Review-g187147-d719918-Reviews-Le_Taillevent-Paris_Ile_de_France.html,d719918
40,PerBacco,Paris,"['Italian', 'Pizza', 'Mediterranean', 'Wine Bar', 'European', 'Vegetarian Friendly', 'Vegan Options']",41,5,$$ - $$$,105,"[['Ecellent pizzas and salad.', 'Lovely typical italien pizza restaurant'], ['01/06/2018', '12/06/2017']]",/Restaurant_Review-g187147-d12474546-Reviews-PerBacco-Paris_Ile_de_France.html,d12474546
41,Ristorante Lo Spaghettino,Paris,"['Italian', 'Mediterranean', 'European', 'Vegetarian Friendly', 'Vegan Options']",42,4.5,$$ - $$$,461,"[['Great atmosphere', 'Very good'], ['12/12/2017', '11/21/2017']]",/Restaurant_Review-g187147-d4471524-Reviews-Ristorante_Lo_Spaghettino-Paris_Ile_de_France.html,d4471524
42,La Trattoria Dell'isola,Paris,"['Italian', 'Pizza', 'Seafood', 'Vegetarian Friendly']",43,4.5,$$ - $$$,460,"[['Nice place', 'Excellent beautiful and all the other love...'], ['10/30/2017', '10/26/2017']]",/Restaurant_Review-g187147-d8094953-Reviews-La_Trattoria_Dell_isola-Paris_Ile_de_France.html,d8094953
43,Tous,Paris,"['French', 'European', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",44,4.5,$$ - $$$,257,"[['Amazing food, great service!', 'Great food and an incredibly friendly host...'], ['01/05/2018', '01/04/2018']]",/Restaurant_Review-g187147-d11317164-Reviews-Tous-Paris_Ile_de_France.html,d11317164
44,Les Canailles,Paris,"['French', 'European']",45,4.5,$$ - $$$,496,"[['Fantastic place', 'My fav french dans mon quartier'], ['11/17/2017', '10/14/2017']]",/Restaurant_Review-g187147-d2719266-Reviews-Les_Canailles-Paris_Ile_de_France.html,d2719266
45,Pop's,Paris,"['Italian', 'French', 'Vegetarian Friendly', 'Vegan Options']",46,4.5,$$ - $$$,220,"[['Amazing Food', 'Great food'], ['12/29/2017', '12/28/2017']]",/Restaurant_Review-g187147-d12223381-Reviews-Pop_s-Paris_Ile_de_France.html,d12223381
46,New York a Paris,Paris,"['French', 'American', 'European', 'Vegetarian Friendly', 'Gluten Free Options']",47,4.5,$$ - $$$,485,"[['Amazing food and excellent service', 'Good service and excellent diner'], ['01/05/2018', '01/05/2018']]",/Restaurant_Review-g187147-d5849115-Reviews-New_York_a_Paris-Paris_Ile_de_France.html,d5849115
47,La Petite Rose des Sables,Paris,"['French', 'European', 'Vegetarian Friendly']",48,4.5,$,693,"[['The most lovely owners on the whole Earth...', 'A warm welcome to Paris!'], ['01/03/2018', '12/23/2017']]",/Restaurant_Review-g187147-d3192219-Reviews-La_Petite_Rose_des_Sables-Paris_Ile_de_France.html,d3192219
48,Pane olio e pomodoro,Paris,"['Italian', 'Mediterranean', 'European', 'Vegetarian Friendly', 'Vegan Options']",49,4.5,$$ - $$$,305,"[['Wow', 'The best restaurant we found during our st...'], ['01/08/2018', '12/14/2017']]",/Restaurant_Review-g187147-d8734304-Reviews-Pane_olio_e_pomodoro-Paris_Ile_de_France.html,d8734304
49,La Veraison,Paris,"['French', 'Fusion', 'Vegetarian Friendly', 'Vegan Options']",50,4.5,$$ - $$$,513,"[[""Best meal we've ever had"", 'Delicious dinner and wine'], ['01/03/2018', '11/22/2017']]",/Restaurant_Review-g187147-d2431710-Reviews-La_Veraison-Paris_Ile_de_France.html,d2431710
50,La Vache et Le Cuisinier,Paris,"['French', 'European', 'Vegetarian Friendly']",51,4.5,$$ - $$$,764,"[['Wonderful', 'My ügo toü restaurant'], ['12/29/2017', '12/15/2017']]",/Restaurant_Review-g187147-d2313721-Reviews-La_Vache_et_Le_Cuisinier-Paris_Ile_de_France.html,d2313721
51,Le Florimond,Paris,"['French', 'European', 'Vegetarian Friendly', 'Gluten Free Options']",52,4.5,$$ - $$$,896,"[[""Excellent meal on New Year's Eve; great gl..."", 'Unforgettable!'], ['01/03/2018', '12/30/2017']]",/Restaurant_Review-g187147-d719117-Reviews-Le_Florimond-Paris_Ile_de_France.html,d719117
52,Happy Caffe,Paris,"['French', 'Cafe', 'Fast Food', 'European', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",53,4.5,$,259,"[['Fitting name', 'Excellent quick Lunch stop'], ['01/03/2018', '01/03/2018']]",/Restaurant_Review-g187147-d8673497-Reviews-Happy_Caffe-Paris_Ile_de_France.html,d8673497
53,Le Jeroboam,Paris,"['French', 'European', 'Contemporary', 'Gastropub', 'Seafood', 'Pub']",54,4.5,$$ - $$$,462,"[['One of the best', 'Excellent food and great service'], ['11/14/2017', '05/26/2017']]",/Restaurant_Review-g187147-d1109787-Reviews-Le_Jeroboam-Paris_Ile_de_France.html,d1109787
54,Pizza Julia,Paris,"['Italian', 'Pizza', 'Vegetarian Friendly', 'Vegan Options']",55,4.5,$,406,"[['Good', 'Great Pizza, Great Prices'], ['12/27/2017', '12/10/2017']]",/Restaurant_Review-g187147-d4332501-Reviews-Pizza_Julia-Paris_Ile_de_France.html,d4332501
55,Mancini,Paris,"['Italian', 'Pizza', 'European', 'Vegetarian Friendly']",56,4.5,$$ - $$$,505,"[['Very good pizza', 'Wow'], ['01/07/2018', '01/04/2018']]",/Restaurant_Review-g187147-d4156647-Reviews-Mancini-Paris_Ile_de_France.html,d4156647
56,Le Chemise,Paris,"['Contemporary', 'Gastropub', 'French', 'European']",57,4.5,$$ - $$$,597,"[['Simply Wow!', 'Nice, but expensive'], ['12/20/2017', '12/09/2017']]",/Restaurant_Review-g187147-d2622854-Reviews-Le_Chemise-Paris_Ile_de_France.html,d2622854
57,Joe Burger,Paris,"['American', 'Fast Food', 'Vegetarian Friendly', 'Vegan Options']",58,4.5,$,455,"[['Yummy burgers!', 'Good burgers, Great Prices!'], ['01/03/2018', '01/02/2018']]",/Restaurant_Review-g187147-d8789027-Reviews-Joe_Burger-Paris_Ile_de_France.html,d8789027
58,Bistro Paradis,Paris,"['French', 'European', 'Vegetarian Friendly', 'Vegan Options']",59,4.5,$$ - $$$,325,"[['Quite a creative little restaurant', 'A small paradise'], ['11/12/2017', '11/12/2017']]",/Restaurant_Review-g187147-d8853018-Reviews-Bistro_Paradis-Paris_Ile_de_France.html,d8853018
59,Restaurant Guy Savoy,Paris,"['French', 'European', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",60,4.5,$$$$,498,"[['World class dining', 'Superb'], ['12/30/2017', '12/08/2017']]",/Restaurant_Review-g187147-d8114676-Reviews-Restaurant_Guy_Savoy-Paris_Ile_de_France.html,d8114676
60,Chez Toinette,Paris,"['French', 'European']",61,4.5,$$ - $$$,1370,"[['Excellent restaurant and very friendly ser...', 'Fantastic!'], ['01/01/2018', '12/30/2017']]",/Restaurant_Review-g187147-d715006-Reviews-Chez_Toinette-Paris_Ile_de_France.html,d715006
61,Auberge des Pyrenees Cevennes,Paris,"['French', 'European']",62,4.5,$$ - $$$,378,"[['Cassoulet is fantastic - but so is everyth...', 'Memorable culinary experience'], ['01/03/2018', '12/29/2017']]",/Restaurant_Review-g187147-d718143-Reviews-Auberge_des_Pyrenees_Cevennes-Paris_Ile_de_France.html,d718143
62,Les Trublions,Paris,"['French', 'European', 'Contemporary', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",63,4.5,$$ - $$$,252,"[['Perfect', 'Interesting menu, GREAT dessert'], ['01/07/2018', '01/05/2018']]",/Restaurant_Review-g187147-d8504956-Reviews-Les_Trublions-Paris_Ile_de_France.html,d8504956
63,Ristorante Al Caratello,Paris,"['Italian', 'European', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",64,4.5,$$ - $$$,1180,"[['Probably the Best Italian restaurant in Pa...', 'Most satisfying meal in Paris'], ['12/30/2017', '12/24/2017']]",/Restaurant_Review-g187147-d788378-Reviews-Ristorante_Al_Caratello-Paris_Ile_de_France.html,d788378
64,Restaurant Mariette,Paris,"['French', 'European', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",65,4.5,$$$$,1222,"[['Very flavourful', 'Great food and superb service'], ['01/07/2018', '12/30/2017']]",/Restaurant_Review-g187147-d1897962-Reviews-Restaurant_Mariette-Paris_Ile_de_France.html,d1897962
65,Chez Trassoudaine,Paris,"['French', 'European']",66,4.5,$$ - $$$,343,"[[""You don't eat in the restaurant, you eat a..."", 'Excellent'], ['01/05/2018', '12/17/2017']]",/Restaurant_Review-g187147-d1035102-Reviews-Chez_Trassoudaine-Paris_Ile_de_France.html,d1035102
66,Invictus,Paris,"['French', 'European', 'Vegetarian Friendly', 'Gluten Free Options']",67,4.5,$$ - $$$,477,"[['Divine!', 'Delicious, friendly and inviting'], ['01/07/2018', '12/28/2017']]",/Restaurant_Review-g187147-d3899568-Reviews-Invictus-Paris_Ile_de_France.html,d3899568
67,Les Papilles,Paris,"['French', 'European', 'Delicatessen']",68,4.5,$$ - $$$,1928,"[['Feeling very formulaic', 'One the best meals weüve had'], ['01/02/2018', '12/31/2017']]",/Restaurant_Review-g187147-d719540-Reviews-Les_Papilles-Paris_Ile_de_France.html,d719540
68,King Marcel - Paris 2eme,Paris,"['French', 'American', 'Fast Food', 'Vegetarian Friendly']",69,4.5,$$ - $$$,475,"[['Superburgers!', 'Awesome'], ['12/28/2017', '12/22/2017']]",/Restaurant_Review-g187147-d8377071-Reviews-King_Marcel_Paris_2eme-Paris_Ile_de_France.html,d8377071
69,Chez Gabrielle,Paris,"['French', 'European']",70,4.5,,864,"[['Perfect meal', 'Best meal in Paris'], ['01/07/2018', '12/29/2017']]",/Restaurant_Review-g187147-d1871995-Reviews-Chez_Gabrielle-Paris_Ile_de_France.html,d1871995
70,Apicius,Paris,"['French', 'European', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",71,4.5,$$$$,555,"[['Beautiful space, excellent service, food n...', 'Excellent food, decor a bit over the top t...'], ['12/30/2017', '12/10/2017']]",/Restaurant_Review-g187147-d695081-Reviews-Apicius-Paris_Ile_de_France.html,d695081
71,Papelli,Paris,"['Italian', 'Pizza', 'Vegetarian Friendly', 'Vegan Options']",72,4.5,$$ - $$$,607,"[['Delicious Pizza and Tiramisu', 'The best'], ['01/06/2018', '01/04/2018']]",/Restaurant_Review-g187147-d5808950-Reviews-Papelli-Paris_Ile_de_France.html,d5808950
72,Ze Kitchen Galerie,Paris,"['French', 'European', 'Asian', 'Contemporary', 'Vegetarian Friendly']",73,4.5,$$$$,1155,"[['Fantastic', 'Beautifully Presented, Tastefully Prepared'], ['12/28/2017', '12/27/2017']]",/Restaurant_Review-g187147-d720163-Reviews-Ze_Kitchen_Galerie-Paris_Ile_de_France.html,d720163
73,L'Oiseau Blanc Restaurant,Paris,"['French', 'European', 'Vegetarian Friendly', 'Gluten Free Options']",74,4.5,$$$$,683,"[['Delicious deserts with coffee', ""If it were a dream, it couldn't be better""], ['01/05/2018', '01/03/2018']]",/Restaurant_Review-g187147-d6975406-Reviews-L_Oiseau_Blanc_Restaurant-Paris_Ile_de_France.html,d6975406
74,La Crete,Paris,"['Mediterranean', 'Greek', 'Vegetarian Friendly', 'Vegan Options']",75,4.5,$$ - $$$,906,"[['Great atmosphere', 'Great Greek Meal in Paris'], ['01/07/2018', '12/17/2017']]",/Restaurant_Review-g187147-d2476001-Reviews-La_Crete-Paris_Ile_de_France.html,d2476001
75,La Cuisine de Philippe,Paris,"['French', 'European', 'Vegetarian Friendly']",76,4.5,$$ - $$$,1059,"[['Wonderful Dinner', 'Best Souffl茅 !'], ['01/07/2018', '01/01/2018']]",/Restaurant_Review-g187147-d3243644-Reviews-La_Cuisine_de_Philippe-Paris_Ile_de_France.html,d3243644
76,La Mandigotte,Paris,"['French', 'European', 'Vegetarian Friendly']",77,4.5,$$ - $$$,653,"[['Perfect Take on the Traditional Bistro', 'Great quality and a good price at this fri...'], ['12/26/2017', '12/24/2017']]",/Restaurant_Review-g187147-d2351195-Reviews-La_Mandigotte-Paris_Ile_de_France.html,d2351195
77,Chez Imogene,Paris,"['French', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",78,4.5,$$ - $$$,407,"[['Best bang for the buck!', 'Wonderful!'], ['12/19/2017', '11/19/2017']]",/Restaurant_Review-g187147-d816755-Reviews-Chez_Imogene-Paris_Ile_de_France.html,d816755
78,Bistrotters,Paris,"['French', 'European', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",79,4.5,$$ - $$$,2045,"[['Tout simplement exquis - simply exquisite', 'A Parisian Treat!'], ['01/04/2018', '12/30/2017']]",/Restaurant_Review-g187147-d719507-Reviews-Bistrotters-Paris_Ile_de_France.html,d719507
79,L'Alsacien,Paris,"['Wine Bar', 'French', 'European', 'Brew Pub', 'Vegetarian Friendly', 'Vegan Options']",80,4.5,$$ - $$$,652,"[['Delicious and fun', 'Great Value and Pizza'], ['12/29/2017', '12/23/2017']]",/Restaurant_Review-g187147-d7063365-Reviews-L_Alsacien-Paris_Ile_de_France.html,d7063365
80,Cobea,Paris,"['French', 'European']",81,4.5,$$$$,609,"[['My oh my!!', 'Quaint Parisian Fine dining'], ['12/27/2017', '11/01/2017']]",/Restaurant_Review-g187147-d2320662-Reviews-Cobea-Paris_Ile_de_France.html,d2320662
81,Le Quinzieme,Paris,"['French', 'European', 'Vegetarian Friendly']",82,4.5,$$$$,968,"[['Perfect Paris', 'Stunning! One of my top dining experiences...'], ['10/19/2017', '09/21/2017']]",/Restaurant_Review-g187147-d793487-Reviews-Le_Quinzieme-Paris_Ile_de_France.html,d793487
82,Le Pavillon de la Grande Cascade,Paris,"['French', 'European', 'Vegetarian Friendly', 'Gluten Free Options']",83,4.5,$$$$,791,"[['Fantastic setting with amazing food', 'Beautiful setting and quality food'], ['12/18/2017', '12/18/2017']]",/Restaurant_Review-g187147-d718677-Reviews-Le_Pavillon_de_la_Grande_Cascade-Paris_Ile_de_France.html,d718677
83,Loubnane,Paris,"['Lebanese', 'Mediterranean', 'Middle Eastern', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",84,4.5,$$ - $$$,952,"[['Awesome restaurant, vibrant atmosphere!', 'Good food all round'], ['01/05/2018', '12/18/2017']]",/Restaurant_Review-g187147-d897021-Reviews-Loubnane-Paris_Ile_de_France.html,d897021
84,L'Aubergeade,Paris,"['French', 'European', 'Vegetarian Friendly']",85,4.5,$$ - $$$,761,"[['Amazing Great Service Brilliant Food', 'Wonderful french cuisine in a familiar ath...'], ['12/29/2017', '12/27/2017']]",/Restaurant_Review-g187147-d718040-Reviews-L_Aubergeade-Paris_Ile_de_France.html,d718040
85,Thai Spices,Paris,"['Thai', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",86,4.5,$$ - $$$,441,"[['Excellent Thai Food', 'Best Thai food in Paris'], ['01/08/2018', '01/03/2018']]",/Restaurant_Review-g187147-d783281-Reviews-Thai_Spices-Paris_Ile_de_France.html,d783281
